Policing Jurisdiction Crime Rates,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,Year-2012,Year-2013,Year-2014,Year-2015,Year-2016,Year-2017,Year-2018,Year-2019,Year-2020,Year-2021
Fraser Valley,Independent Municipal ,Abbotsford Mun (1),52.6,52.5,56.4,62.7,62,63.3,65.5,60.3,50.4,48.4
Fraser Valley,RCMP Provincial,Agassiz Prov,140.3,135.5,119.3,151.4,160.1,139.7,183.7,203.9,161.7,161.7
Mount Waddington,RCMP Provincial,Alert Bay Prov,204,174,174.3,143.1,108.6,94.5,109.3,131.6,175.1,170.2
Cariboo,RCMP Provincial,Alexis Creek Prov,195.9,212.1,193.2,144,120.3,94.5,93.1,100.3,139.9,92.3
Cariboo,RCMP Provincial,Anahim Lake Prov,263.7,243.7,234.4,164.5,148.9,168.8,110.3,143.9,181.6,131.4
North Okanagan,RCMP Municipal,Armstrong Mun (2),-,-,-,-,-,38,51,47.7,41.2,45.1
North Okanagan,RCMP Provincial,Armstrong Prov (3),50.5,44.6,36.1,39.3,50.8,120.9,26.3,41.8,82.7,76.5
Thompson Nicola,RCMP Provincial,Ashcroft Prov,60.3,52.2,67.2,79.2,72.8,63,80.8,112.5,109.2,121.8
Kitimat Stikine,RCMP Provincial,Atlin Prov,258.8,139.1,141.2,100.4,104.2,116.4,112.3,147.4,149.3,139.1
Thompson Nicola,RCMP Provincial,Barriere Prov,52.8,57,65,75,70.2,70.4,60.7,53,46.8,59.7
Central Coast,RCMP Provincial,Bella Bella Prov,234.4,184,160.6,85.2,101,83.9,74.4,140,158,144.7
Central Coast,RCMP Provincial,Bella Coola Prov,201.7,90.3,114.2,94.1,83.8,104.3,102.3,104.2,73.8,88.8
Fraser Valley,RCMP Provincial,Boston Bar Prov,181.5,155.2,120.6,158.9,172.4,132.4,141.8,182.8,217.7,211.1
Metro Vancouver,RCMP Provincial,Bowen Island Prov,18.6,25.4,19,31.9,22,20.1,20.1,27.8,20,22
Metro Vancouver,RCMP Municipal,Burnaby Mun,64.1,57.3,60.6,60.4,55.2,56.1,52.7,64.9,59.1,52.4
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,160.6,147.3,128.8,115.1,98.1,75.3,80.4,111.7,147.2,159.2
Strathcona,RCMP Municipal,Campbell River Mun,101.7,95.4,97.6,96.1,98.7,86.2,86,134.2,127.6,127.9
Strathcona,RCMP Provincial,Campbell River Prov,86.3,72.7,72.6,113.7,122.3,97.5,108.9,158.9,153.6,145.6
Central Kootenay,RCMP Municipal,Castlegar Mun,88.7,87.1,77.6,80.7,82.6,73.3,72.6,93.4,97.6,114.5
Central Kootenay,RCMP Provincial,Castlegar Prov (4),42.6,35.7,36.8,34.6,32.1,30.4,27.3,28.6,38.6,48.1
Capital,Independent Municipal ,Central Saanich Mun,32.2,27.6,25.6,27.1,31.6,35.1,26.6,27.2,25.8,24.9
Thompson Nicola,RCMP Provincial,Chase Prov,68,65.3,62.9,77.7,56.3,59.8,65.4,79.9,75.5,80.5
Peace River,RCMP Provincial,Chetwynd Prov,128.5,103.8,86.8,95.4,75.9,89.6,85.4,100.6,93.5,79.5
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),97.3,98,102.7,111.6,120.4,111.9,115.1,134.2,121.2,115.6
Fraser Valley,RCMP Provincial,Chilliwack Prov,121.6,135.2,149.7,157.7,157.6,147.6,140.1,150.4,116,131.4
Thompson Nicola,RCMP Provincial,Clearwater Prov,69.4,68.2,59.7,57,69.5,58.4,57.7,63.7,58.2,61.3
Thompson Nicola,RCMP Provincial,Clinton Prov,66.3,58.3,53.1,61.2,58.7,57.1,70.1,82.7,91.1,52.6
North Okanagan,RCMP Municipal,Coldstream Mun,28.7,30.8,30.6,32.1,33.1,33.7,32.5,31,29,28.8
East Kootenay,RCMP Provincial,Columbia Valley Prov,83.3,77.4,60.3,62.7,60.1,50.6,64.8,57.3,60.9,72.6
Capital,RCMP Municipal,Colwood Mun,39.9,29.5,26.9,35.9,35.8,29.4,35,53,49.4,50.7
Comox Valley,RCMP Municipal,Comox Mun,30.6,30.9,32,37.7,29.9,34.4,33.7,44.6,40.5,31.4
Comox Valley,RCMP Provincial,Comox Valley Prov,37.7,29.9,31.5,34.9,33.2,38.8,31.2,42.7,41.4,42.8
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),55.9,57.2,57,61.9,58.4,50.4,48.1,53.1,47,47
Metro Vancouver,RCMP Provincial,Coquitlam Prov,29.2,27.1,24.7,32.3,34.6,35.3,23.6,26,37.6,26
Comox Valley,RCMP Municipal,Courtenay Mun,92.9,98.3,98.9,104.7,96.1,110.9,104.7,129.1,141.1,149.6
East Kootenay,RCMP Municipal,Cranbrook Mun,102.1,86.2,72.6,76,71.4,84.1,77.2,89.9,82.5,102.2
East Kootenay,RCMP Provincial,Cranbrook Prov,44.4,44.6,30.9,32.1,33.7,34.2,37.1,36.9,40.2,38.7
Central Kootenay,RCMP Municipal,Creston Mun (3),76,94,77.5,86.1,78.9,87.5,88.7,85.7,79.4,85.1
Central Kootenay,RCMP Provincial,Creston Prov (3),53.3,40.9,35.7,52.7,42.4,42.8,44.5,43.1,40.4,41.6
Peace River,RCMP Municipal,Dawson Creek Mun,148.1,123.4,138.3,140.6,112.1,119.4,113,158.5,132.1,158.7
Peace River,RCMP Provincial,Dawson Creek Prov,36.5,35.3,44.1,49.1,53.5,47.3,38.7,56.5,43.5,42.9
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,136.1,118.1,149.4,132.3,132.5,62,78.2,102.7,175,104
Metro Vancouver,Independent Municipal ,Delta Mun (1),52.7,46.7,49.9,43.8,44,43.6,41.1,47.3,41.1,37.8
Cowichan Valley,RCMP Provincial,Duncan Prov,140.5,142.9,128,136.9,152.2,152.5,158.4,227.8,169.2,174.1
East Kootenay,RCMP Provincial,Elk Valley Prov (5),62.6,51.8,53.4,40.5,41.5,43.1,38.3,47.3,47.1,42.8
North Okanagan,RCMP Provincial,Enderby Prov,58.8,64.2,62.8,56.5,62.2,62.5,61.6,89.9,79.1,75.1
Columbia Shuswap,RCMP Provincial,Falkland Prov,42.6,37.4,34.5,35.3,42,37.2,27.5,36.2,32,35
East Kootenay,RCMP Municipal,Fernie Mun (2),-,-,-,-,-,36,54,46.8,40.8,42.9
Bulkley Nechako,RCMP Provincial,Fort St James Prov,269.4,285.4,230.2,221.4,215.1,196.6,179.2,253.9,261.3,286.4
Peace River,RCMP Municipal,Fort St John Mun,153.2,142.4,147.5,141.6,114.2,97,102,139,126.7,118.9
Peace River,RCMP Provincial,Fort St John Prov,44.8,46.1,49.5,45.9,37.7,36,33.9,46,46.7,44.1
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,80.1,66.1,43,53.7,65.1,50.7,52.5,58.8,63.9,63.4
Nanaimo,RCMP Provincial,Gabriola Island Prov,37.9,40.9,56.2,48.4,36.6,27.3,33.9,42.9,51.3,44
Columbia Shuswap,RCMP Provincial,Golden Prov,84.7,72.9,65.2,78.7,77.4,82.4,72.1,61.6,65.2,49.5
